clave,descripcion,clave_transporte,nacionalidad,designador_iata,linea_ferrea
EA0038,Guararapes,03,Brasil,REC,
EA0039,Santos Dumont,03,Brasil,SDU,
EA0040,Professor Urbano Ernesto Stumpf,03,Brasil,SJK,
EA0041,Deputado Luis Eduardo Magalhaes,03,Brasil,SSA,
EA0042,Viracopos-Campinas,03,Brasil,VCP,
EA0043,Gladman Point,03,Canadá,CYUR,
EA0044,Sault Ste. Marie,03,Canadá,YAM,
EA0045,Canadian Forces Base Shearwater,03,Canadá,YAW,
EA0046,Canadian Forces Base Bagotville,03,Canadá,YBG,
EA0047,Brandon Municipal,03,Canadá,YBR,
EA0048,Edmonton,03,Canadá,YEG,
EA0049,Fredericton,03,Canadá,YFC,
EA0050,John C. Munro,03,Canadá,YHM,
EA0051,Robert L. Stanfield,03,Canadá,YHZ,
EA0052,Region Of Waterloo,03,Canadá,YKF,
EA0053,Kelowna,03,Canadá,YLW,
EA0054,Mary's Harbour,03,Canadá,YMH,
EA0055,Fort Mcmurray,03,Canadá,YMM,
EA0056,Montreal-Mirabel,03,Canadá,YMX,
EA0057,Macdonald-Cartier,03,Canadá,YOW,
EA0058,Jean Lesage,03,Canadá,YQB,
EA0059,Windsor,03,Canadá,YQG,
EA0060,Lethbridge County,03,Canadá,YQL,
EA0061,Greater Moncton,03,Canadá,YQM,
EA0062,Canadian Forces Base Comox,03,Canadá,YQQ,
EA0063,Regina,03,Canadá,YQR,
EA0064,Thunder Bay,03,Canadá,YQT,
EA0065,Gander,03,Canadá,YQX,
EA0066,Sudbury,03,Canadá,YSB,
EA0067,Saint John,03,Canadá,YSJ,
EA0068,Billy Bishop,03,Canadá,YTZ,
EA0069,Pierre Elliott Trudeau,03,Canadá,YUL,
EA0070,Rouyn-Noranda,03,Canadá,YUY,
EA0071,Vancouver,03,Canadá,YVR,
EA0072,James Armstrong Richardson,03,Canadá,YWG,
EA0073,John G. Diefenbaker,03,Canadá,YXE,
EA0074,Prince George,03,Canadá,YXS,
EA0075,London,03,Canadá,YXU,
EA0076,Abbotsford,03,Canadá,YXX,
EA0077,Calgary,03,Canadá,YYC,
EA0078,Victoria,03,Canadá,YYJ,
EA0079,Canadian Forces Base Goose Bay,03,Canadá,YYR,
EA0080,St. John's,03,Canadá,YYT,
EA0081,Lester B. Pearson,03,Canadá,YYZ,
EA0082,Andres Sabella,03,Chile,ANF,
EA0083,Carriel Sur,03,Chile,CCP,
EA0084,Diego Aracena,03,Chile,IQQ,
EA0085,Arturo Merino Benítez,03,Chile,SCL,
EA0086,Baiyun,03,China,CAN,
EA0087,Changle,03,China,FOC,
EA0088,Xiaoshan,03,China,HGH,
EA0089,Lishe,03,China,NGB,
EA0090,Nanjing Lukou,03,China,NKG,
EA0091,Capital,03,China,PEK,
EA0092,Pudong,03,China,PVG,
EA0093,Gaoqi,03,China,XMN,
EA0094,Gustavo Rojas Pinilla,03,Colombia,ADZ,
EA0095,Ernesto Cortissoz,03,Colombia,BAQ,
EA0096,El Nuevo Dorado,03,Colombia,BOG,
EA0097,Alfonso Bonilla Aragón,03,Colombia,CLO,
EA0098,Rafael Nuñez,03,Colombia,CTG,
EA0099,Jose Maria Córdova,03,Colombia,MDE,
EA0100,Montelibano,03,Colombia,MTB,
EA0101,Daniel Oduber Quiros,03,Costa Rica,LIR,
EA0102,Juan Santamaría,03,Costa Rica,SJO,
EA0103,Jardines Del Rey,03,Cuba,CCC,
EA0104,Ignacio Agramonte,03,Cuba,CMW,
EA0105,Vilo Acuña,03,Cuba,CYO,
EA0106,Jose Martí,03,Cuba,HAV,
EA0107,Frank País,03,Cuba,HOG,
EA0108,Antonio Maceo,03,Cuba,SCU,
EA0109,Abel Santamaría,03,Cuba,SNU,
EA0110,Juan Gualberto Gomez,03,Cuba,VRA,
EA0111,Aalborg,03,Dinamarca,AAL,
EA0112,Billund,03,Dinamarca,BLL,
EA0113,København,03,Dinamarca,CPH,
EA0114,Mariscal Lamar,03,Ecuador,CUE,
EA0115,Jose Joaquín De Olmdeo,03,Ecuador,GYE,
EA0116,Eloy Alfaro,03,Ecuador,MEC,
EA0117,General Ulpiano Páez,03,Ecuador,SNC,
